MF,StockGroup,Part/Description,RtnQty,DLS,DPS,O/H,Cost,Value
HY,200,91AN1-11201-QQH : FUSE KIT,1,17,168,0,23.3,0
HY,200,91FS2-11020-QQH : FUSE KIT,1,128,175,1,15.86,15.86
HY,200,95440-K5012 : FOB-SMART KEY,1,326,,0,323.6,0
HY,200,95440-N9570 : FOB-SMART KEY,1,,,0,291.02,0
HY,200,95440-2S600 : FOB-SMART KEY,1,,,0,297.79,0
HY,200,96010-D3100 : COVER-RAIN SENSOR,1,,,0,17.09,0
HY,200,97129-P2000 : COVER ASSY-AIR FILTER,1,203,518,0,13.3,0
HY,201,99H09-AKA16-C : WIPER BLADE 16',2,10,14,8,10.46,83.68
HY,200,99H09-AKA26-C : WIPER BLADE 26',2,7,10,9,16.91,152.19
OT,401,BP1255H11LLN : HEADLIGHT BULB,1,225,1847,0,15.49,0
OT,401,FL3Z5C226A : CAT GASKETS,2,,,0,4.97,0
OT,401,JL3Z5E212C : CAT CONVERTER,1,,,0,614.1,0
OT,401,JL3Z5E212K : CAT CONVERTER,1,,,0,740.6,0
OT,401,OS30746 : OIL PAN GASKET,1,,,1,25.49,25.49
OT,401,PXD1848H : REAR BRAKE PADS,1,214,,0,44.99,0
OT,401,W520514S440 : HEX. NUT,4,329,,0,1.18,0
OT,401,W707753S900 : STUD,4,,,0,6.8,0
OT,401,W714717S439 : BOLT,2,,,0,2.45,0
OT,401,YH566180P : REAR BRAKE ROTOR,2,,,0,42.5,0
OT,401,YH641710P : REAR BRAKE ROTOR,2,750,,0,42.5,0
OT,401,00232OILSYN : SYNTHETIC SHELL 5W-30 OIL,5,,,0,1,0
OT,401,100351 : OIL FILTER,1,29,120,1,4,4
OT,402,1016749 : 185/65R15 LAUFENN G-FIT A/S,4,185,,0,67.69,0
OT,401,14946 : PINION SEAL,1,,,0,24.08,0
OT,401,18150R5A000 : CATALYTIC CONVERTER,1,,,0,547.03,0
OT,401,18229SMA003 : MANIFOLD GASKET,1,,,0,36.75,0
OT,401,18302SP0003 : EXHAUST FLANGE GASKET,1,,,0,8.97,0
OT,999,21285 : REAR DIFF PINION SEAL,1,,,0,15.23,0
OT,401,230320 : CABIN FILTER,1,294,931,0,15.88,0
OT,401,25799118 : BRAKE PEDAL POSITION SENSOR,1,,,0,44.5,0
OT,401,29208 : PERMATEX RTV GASKET,1,127,156,0,17.99,0
OT,401,60171 : FRONT WIPER BLADE,1,905,920,1,10.49,10.49
OT,401,60181B : FRONT WIPER BLADE,1,668,836,0,14.78,0
OT,401,6024PBN : FRONT WIPER BLADE,1,137,816,0,14.27,0
OT,401,60261B : FRONT WIPER BLADE,1,682,696,0,14.78,0
OT,401,61106 : DOWN PIPE GASKET,1,88,823,0,17.69,0
OT,401,626-802 : HEATER HOSE ASSY,1,,,0,140.24,0
OT,401,6413127 : WHEEL STUD M12X1.50,1,101,,0,2.73,0
OT,401,733809 : LUG NUT SET W/ KEY,1,,,0,40.32,0
OT,401,7356 : OIL FILTER,1,15,23,0,4.09,0
OT,401,7620 : OIL FILTER,1,154,689,0,6.74,0
OT,401,818289 : 10W30 VAL. SYN. DIESEL,1,321,,0,4.49,0
OT,401,86631SG020 : WASHER FLUID RES. W/ SENSOR,1,,,0,64.14,0
OT,401,9358 : CABIN FILTER,1,196,989,0,13.3,0
OT,401,9848 : AGM BATTERY,1,995,1018,0,218.55,0
