Category,Sales,Gross,Pieces
Parts on Open Repair Orders,16476.61,6729.8,178
Parts at Cashier,,,
Parts on Hold,,,
Held for Special Order,,,
Filled Special Orders,2702.72,1203.49,11
Unfilled Special Orders,80,37.64,1
Special Orders to Order,271.59,111.81,2
Total Unrealized Sales,19530.92,8082.74,192
Special Order Deposit,2216.12,,
